Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Seattle, WA",52, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Los Angeles, CA",43, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Minneapolis, MN",35, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Las Vegas, NV",35, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Chicago, IL",34, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Dallas, TX",27, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Houston, TX",26, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Phoenix, AZ",25, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Albuquerque, NM",23, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Denver, CO",20, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Saint Paul, MN",20, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Boise, ID",19, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
