Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Los Angeles, CA",280, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Dallas, TX",229, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Chicago, IL",136, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Seattle, WA",124, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Tampa, FL",109, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Orlando, FL",70, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Portland, OR",61, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Detroit, MI",61, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Irvine, CA",54, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Whittier, CA",50, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Fullerton, CA",48, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Riverside, CA",45, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Long Beach, CA",40, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Brooklyn, NY",36, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Fort Worth, TX",32, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Tacoma, WA",32, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Ontario, CA",31, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"New York City, NY",29, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Irving, TX",28, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Atlanta, GA",27, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Columbus, OH",25, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Chino Hills, CA",23, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Sacramento, CA",22, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Plano, TX",22, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Riverview, FL",21, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Anaheim, CA",21, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Corona, CA",20, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"San Diego, CA",20, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Center Line, MI",20, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"The Bronx, NY",20, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Silver Spring, MD",19, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Houston, TX",18, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Washington, D.C., DC",18, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Flushing, NY",18, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
"Hemet, CA",18, No problems detected ,9.30%,3.62%,Thu 21 Mar 2019 13:13:25,Frontier,Is the service down,4.91%,71.32%,5.68%,5.17%
