Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Austin, TX",14, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Kansas City, KS",13, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Atlanta, GA",11, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Kansas City, MO",10, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Provo, UT",7, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Lenexa, KS",6, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Louisville, KY",6, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Mountain View, CA",5, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Lee's Summit, MO",5, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Chicago, IL",5, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Charlotte, NC",4, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"St. Louis, MO",4, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Birmingham, AL",4, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Los Angeles, CA",4, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Huntsville, AL",4, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Durham, NC",4, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Overland Park, KS",4, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Shawnee, KS",3, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Salt Lake City, UT",3, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Houston, TX",3, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"San Antonio, TX",3, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Cary, NC",2, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
