Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Chicago, IL",437, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Minneapolis, MN",369, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Omaha, NE",361, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Des Moines, IA",212, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Atlanta, GA",165, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Cedar Rapids, IA",106, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Bettendorf, IA",86, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Orlando, FL",84, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Los Angeles, CA",80, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Iowa City, IA",80, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Rock Island, IL",79, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Elkhorn, NE",72, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Indianapolis, IN",71, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Springfield, MO",68, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Saint Paul, MN",67, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
