Location,Reports,Status,Phone,Source,Date/Time collected,Provider,E-mail,Internet,Wi-fi,Total Blackout
"Los Angeles, CA",35, No problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:13:25,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Miami, FL",29, No problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:13:25,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Atlanta, GA",17, No problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:13:25,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Dallas, TX",17, No problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:13:25,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Tampa, FL",16, No problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:13:25,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Brooklyn, NY",15, No problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:13:25,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Orlando, FL",15, No problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:13:25,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Denver, CO",15, No problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:13:25,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Toccoa, GA",14, No problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:13:25,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Houston, TX",14, No problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:13:25,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Sacramento, CA",13, No problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:13:25,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Boca Raton, FL",11, No problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:13:25,MetroPCS,4.27%,31.67%,2.85%,10.68%
