Location,Reports,Status,Source,TV,Date/Time collected,Provider,E-mail,Internet,Wi-fi,Total Blackout
"Chicago, IL",205, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Philadelphia, PA",111, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Brooklyn, NY",72, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"New York City, NY",58, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Washington, D.C., DC",49, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Hampstead, MD",30, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Silver Spring, MD",30, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Boston, MA",28, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"The Bronx, NY",28, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Allentown, PA",26, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Columbia, MD",25, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Flushing, NY",21, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Bethlehem, PA",20, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Hyattsville, MD",13, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Somerville, MA",12, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Mattapan, MA",11, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Baltimore, MD",10, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Easton, PA",10, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Watertown, MA",9, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Lombard, IL",9, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Detroit, MI",9, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Charlestown, MA",8, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Northampton, PA",8, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Foxborough, MA",7, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Dorchester, MA",7, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Center Line, MI",7, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Lanham, MD",7, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
"Astoria, NY",6, No problems detected ,Is the service down,18.81%,Thu 21 Mar 2019 19:12:30,RCN,4.46%,66.83%,4.95%,4.95%
