Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Dallas, TX",518, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Houston, TX",301, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Sacramento, CA",105, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Fort Worth, TX",97, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Irving, TX",95, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Austin, TX",94, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Silver Spring, MD",73, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Chicago, IL",64, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Hampstead, MD",59, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Columbia, MD",55, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Eureka, CA",55, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"San Antonio, TX",50, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Amarillo, TX",49, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Charleston, WV",40, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Los Angeles, CA",37, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Washington, D.C., DC",34, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Auburn, CA",33, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Phoenix, AZ",31, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Charlotte, NC",29, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"McKinleyville, CA",27, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Hyattsville, MD",26, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Greensburg, PA",24, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Round Rock, TX",23, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"College Station, TX",22, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Arlington, TX",21, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Arcata, CA",20, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Stockton, CA",19, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Kansas City, MO",18, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Katy, TX",18, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Danville, CA",17, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"St. Louis, MO",17, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Cabot, AR",17, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Marietta, OH",17, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Oklahoma City, OK",17, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Bryan, TX",16, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Atlanta, GA",16, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Lubbock, TX",15, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Conroe, TX",15, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
