Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Los Angeles, CA",125, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Houston, TX",72, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Chicago, IL",55, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Miami, FL",48, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Brooklyn, NY",48, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Dallas, TX",44, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Seattle, WA",40, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Orlando, FL",39, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"New York City, NY",37, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Phoenix, AZ",34, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Austin, TX",34, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Denver, CO",31, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Detroit, MI",31, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"San Diego, CA",25, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Atlanta, GA",24, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"San Antonio, TX",24, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Salt Lake City, UT",22, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Las Vegas, NV",22, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Charlotte, NC",22, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Philadelphia, PA",20, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Tampa, FL",19, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Washington, D.C., DC",19, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Fort Lauderdale, FL",18, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"San Francisco, CA",17, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Portland, OR",17, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
