Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Chicago, IL",1625, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
"Dallas, TX",1527, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
"Houston, TX",802, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
"Atlanta, GA",654, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
"Los Angeles, CA",644, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
"Detroit, MI",510, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
"Fort Worth, TX",344, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
"Orlando, FL",298, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
"Irving, TX",293, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
"Charlotte, NC",284, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
"Columbus, OH",266, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
"Cleveland, OH",263, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
"Austin, TX",241, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
"Miami, FL",199, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
"Center Line, MI",196, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
"Indianapolis, IN",194, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
"Sacramento, CA",170, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
"Milwaukee, WI",165, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
"Oakland, CA",159, Problems detected ,36.73%,3.50%,Thu 21 Mar 2019 19:12:30,att,Is the service down,5.06%,43.19%,6.38%,5.13%
