Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Los Angeles, CA",2663, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Dallas, TX",1908, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Chicago, IL",1784, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Charlotte, NC",1476, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Detroit, MI",1455, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Brooklyn, NY",1145, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Orlando, FL",1017, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Atlanta, GA",800, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Cleveland, OH",749, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Columbus, OH",714, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Houston, TX",702, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Buffalo, NY",646, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Austin, TX",598, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"New York City, NY",578, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Tampa, FL",575, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Milwaukee, WI",516, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Minneapolis, MN",457, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
"Louisville, KY",456, Problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:13:25,charter-communications,Is the service down,2.03%,62.93%,6.18%,6.78%
