Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Brooklyn, NY",684, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"New York City, NY",236, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"The Bronx, NY",216, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Newark, NJ",140, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Flushing, NY",126, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Jersey City, NJ",47, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Bridgeport, CT",31, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"East Orange, NJ",23, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Union City, NJ",17, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Philadelphia, PA",16, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Wayne, NJ",16, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Secaucus, NJ",16, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Piscataway, NJ",15, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Edison, NJ",15, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"New Haven, CT",14, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Linden, NJ",13, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Bronx, NY",13, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Rahway, NJ",13, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Silver Spring, MD",12, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Washington, D.C., DC",12, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Foxborough, MA",12, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Meriden, CT",12, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Lanham, MD",12, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Madison, NJ",11, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Valley Stream, NY",11, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"South Orange, NJ",10, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Matawan, NJ",10, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Elizabeth, NJ",10, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Detroit, MI",10, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Lynbrook, NY",10, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Clark, NJ",10, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"New Rochelle, NY",10, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Lyons, NJ",10, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Yonkers, NY",9, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Paterson, NJ",9, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Metuchen, NJ",9, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Boston, MA",9, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"New City, NY",9, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Colonia, NJ",9, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Milford, CT",9, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"South Plainfield, NJ",9, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Maplewood, NJ",8, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Syracuse, NY",8, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Bayonne, NJ",8, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Lyndhurst, NJ",8, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Stamford, CT",8, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"New Hyde Park, NY",8, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Pleasantville, NY",7, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Garfield, NJ",7, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
"Cresskill, NJ",7, Problems detected ,1.61%,11.29%,Thu 21 Mar 2019 19:12:30,optimum-cablevision,Is the service down,7.74%,65.00%,5.65%,8.71%
