Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Houston, TX",427, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"San Antonio, TX",251, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Chicago, IL",191, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Dallas, TX",148, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Washington, D.C., DC",130, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Atlanta, GA",96, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Los Angeles, CA",85, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Detroit, MI",80, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Orlando, FL",74, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Brooklyn, NY",68, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Nashville, TN",66, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"St. Louis, MO",65, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Denver, CO",64, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"New York City, NY",56, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Charlotte, NC",53, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Phoenix, AZ",53, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Kansas City, MO",51, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Austin, TX",49, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Omaha, NE",49, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Spring, TX",47, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"San Diego, CA",46, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Columbus, OH",43, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Tampa, FL",42, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Portland, OR",42, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Minneapolis, MN",40, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Fort Worth, TX",33, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Indianapolis, IN",31, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Philadelphia, PA",30, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Miami, FL",29, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Pittsburgh, PA",24, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"New Orleans, LA",24, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Hyattsville, MD",23, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Seattle, WA",22, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Jacksonville, FL",21, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"La Mirada, CA",21, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Saint Paul, MN",21, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Lincoln, NE",20, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Smyrna, TN",20, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Sacramento, CA",19, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"San Jose, CA",18, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Milwaukee, WI",17, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Hobbs, NM",16, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Clinton Township, MI",16, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Des Moines, IA",16, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Raleigh, NC",15, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Baltimore, MD",15, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"El Paso, TX",15, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"San Marcos, TX",15, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Livonia, MI",14, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
"Fort Lauderdale, FL",14, Problems detected ,44.23%,.74%,Thu 21 Mar 2019 13:36:47,Sprint,Is the service down,6.80%,37.71%,3.45%,7.08%
