Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Los Angeles, CA",2663, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Dallas, TX",1908, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Chicago, IL",1784, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Charlotte, NC",1476, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Detroit, MI",1455, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Brooklyn, NY",1146, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Orlando, FL",1018, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Atlanta, GA",800, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Cleveland, OH",749, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Columbus, OH",714, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Houston, TX",703, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Buffalo, NY",646, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Austin, TX",598, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"New York City, NY",578, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Tampa, FL",575, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Milwaukee, WI",516, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Minneapolis, MN",457, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Louisville, KY",456, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Rochester, NY",424, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"San Antonio, TX",382, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Raleigh, NC",372, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"St. Louis, MO",367, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Honolulu, HI",360, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Seattle, WA",347, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Dayton, OH",346, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
