Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Naples, FL",685, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Washington, D.C., DC",373, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Philadelphia, PA",356, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Brooklyn, NY",331, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"New York City, NY",253, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"East Lansing, MI",176, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Silver Spring, MD",168, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Los Angeles, CA",148, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Columbia, MD",143, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Charlotte, NC",126, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Baltimore, MD",125, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Hampstead, MD",121, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Atlanta, GA",120, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Pittsburgh, PA",111, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Alexandria, VA",107, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"The Bronx, NY",107, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
